Micro Pollutant,MP Category,Initial Concentration of MP (mg/L),Compound MW (g/mol),Compound Charge,Log D (pH=6.5-7),pKa,Diffusivity (20 °C) ( × 10−10 m2/s),Stokes Radius/Compound size (nm),TOC (mg/L),Initial FS pH,Type of MB,FO membrane description,MB Contact Angle (°),MB Zeta Potential (mV),Draw Solution,DS MW (g mol-1),DS Concentration (M),Initial DS pH,Operating Time (h),Cross Flow Velocity (cm/s),"Water Flux, Jw (LMH)","Reverse Salt Flux, Js (gMH)",Temperature (⁰C),Removal Rate (%),Reference,Reference ID,Additional references,ID number
Gemfibrozil,Pharmaceutical,0.00075,250.33,-1,NaN,4.75,,0.477,,6,HTI CTA FO ,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,0.5,NaN,25,9,5.36,4,22.5,70,(Alturki et al. 2013),5,,113
Dilantin,Pharmaceutical,0.00075,252.27,0,NaN,8.28,,0.548,,6,HTI CTA FO ,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,0.5,NaN,25,9,5.36,4,22.5,87,(Alturki et al. 2013),5,,114
Triamterene,Pharmaceutical,0.00075,253.26,-1,NaN,6.28,,0.488,,6,HTI CTA FO ,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,0.5,NaN,25,9,5.36,4,22.5,86,(Alturki et al. 2013),5,,115
Ketoprofen,Pharmaceutical,0.00075,254.28,-1,NaN,4.23,,0.463,,6,HTI CTA FO ,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,0.5,NaN,25,9,5.36,4,22.5,90,(Alturki et al. 2013),5,,116
Atenolol,β-Blockers,0.00075,266.34,1,-2.67,9.43,,0.412,,6,HTI CTA FO ,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,0.5,NaN,25,9,5.36,4,22.5,97,(Alturki et al. 2013),5,,117
Amitriptyline,Pharmaceutical,0.00075,277.4,0,NaN,9.18,,0.514,,6,HTI CTA FO ,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,0.5,NaN,25,9,5.36,4,22.5,96,(Alturki et al. 2013),5,,118
Triclosan,Detergent,0.00075,289.54,0,NaN,7.8,,0.391,,6,HTI CTA FO ,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,0.5,NaN,25,9,5.36,4,22.5,92,(Alturki et al. 2013),5,,119
Trimethoprim,Antibiotics,0.00075,290.32,1,0.26,7.04,,0.385,,6,HTI CTA FO ,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,0.5,NaN,25,9,5.36,4,22.5,95,(Alturki et al. 2013),5,,120
Diclofenac,Pharmaceutical,0.00075,296.25,-1,NaN,4.18,,0.447,,6,HTI CTA FO ,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,0.5,NaN,25,9,5.36,4,22.5,88,(Alturki et al. 2013),5,,121
Fluoxetine,Antidepressant ,0.00075,309.33,1,NaN,10.05,,0.527,,6,HTI CTA FO ,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,0.5,NaN,25,9,5.36,4,22.5,96,(Alturki et al. 2013),5,,122
Triclocarban,Pharmaceutical,0.00075,325.58,0,NaN,12.77,,0.496,,6,HTI CTA FO ,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,0.5,NaN,25,9,5.36,4,22.5,98,(Alturki et al. 2013),5,,123
Clozapine,Pharmaceutical,0.00075,326.82,1,NaN,7.33,,0.607,,6,HTI CTA FO ,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,0.5,NaN,25,9,5.36,4,22.5,96,(Alturki et al. 2013),5,,124
Omeprazole,Pharmaceutical,0.00075,345.42,0,NaN,8.78,,0.566,,6,HTI CTA FO ,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,0.5,NaN,25,9,5.36,4,22.5,96,(Alturki et al. 2013),5,,125
Hydroxyzine,Pharmaceutical,0.00075,374.9,1,NaN,14.41,,0.452,,6,HTI CTA FO ,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,0.5,NaN,25,9,5.36,4,22.5,98,(Alturki et al. 2013),5,,126
Risperidone,Pharmaceutical,0.00075,410.48,0,NaN,8.07,,0.583,,6,HTI CTA FO ,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,0.5,NaN,25,9,5.36,4,22.5,99,(Alturki et al. 2013),5,,127
Simvastatin,Pharmaceutical,0.00075,418.57,0,NaN,13.49,,0.573,,6,HTI CTA FO ,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,0.5,NaN,25,9,5.36,4,22.5,99,(Alturki et al. 2013),5,,128
Simvastatin hydroxy acid,Pharmaceutical,0.00075,436.58,-1,NaN,4.31,,0.496,,6,HTI CTA FO ,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,0.5,NaN,25,9,5.36,4,22.5,100,(Alturki et al. 2013),5,,129
Verapamil,Pharmaceutical,0.00075,454.6,0,NaN,8.97,,0.538,,6,HTI CTA FO ,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,0.5,NaN,25,9,5.36,4,22.5,99,(Alturki et al. 2013),5,,130
DEET,Pesticide,0.00075,191.27,0,NaN,-1.37,,0.329,,6,HTI CTA FO ,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,0.5,NaN,25,9,5.36,4,22.5,57,(Alturki et al. 2013),5,,131
Atrazine,Herbicide,0.00075,215.68,0,2.64,2.27,,0.399,,6,HTI CTA FO ,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,0.5,NaN,25,9,5.36,4,22.5,49,(Alturki et al. 2013),5,,132
Linuron,Herbicide,0.00075,249.09,0,NaN,12.13,,0.385,,6,HTI CTA FO ,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,0.5,NaN,25,9,5.36,4,22.5,27,(Alturki et al. 2013),5,,133
t-Octylphenol,Detergent,0.00075,206.32,0,NaN,10.15,,0.372,,6,HTI CTA FO ,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,0.5,NaN,25,9,5.36,4,22.5,30,(Alturki et al. 2013),5,,134
Nonylphenol,Nonylphenol,0.00075,220.35,0,NaN,10.15,,0.408,,6,HTI CTA FO ,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,0.5,NaN,25,9,5.36,4,22.5,97,(Alturki et al. 2013),5,,135
Estrone,Hormones,0.00075,270.37,0,NaN,10.25,,0.342,,6,HTI CTA FO ,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,0.5,NaN,25,9,5.36,4,22.5,80,(Alturki et al. 2013),5,,136
17β-Estradiol,Hormones,0.00075,272.38,0,NaN,10.27,,0.33,,6,HTI CTA FO ,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,0.5,NaN,25,9,5.36,4,22.5,80,(Alturki et al. 2013),5,,137
17α-Estradiol,Hormones,0.00075,272.38,0,NaN,10.27,,0.33,,6,HTI CTA FO ,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,0.5,NaN,25,9,5.36,4,22.5,81,(Alturki et al. 2013),5,,138
Androstenedione,Hormones,0.00075,286.41,0,NaN,18.52,,0.394,,6,HTI CTA FO ,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,0.5,NaN,25,9,5.36,4,22.5,90,(Alturki et al. 2013),5,,139
Estriol,Hormones,0.00075,288.38,0,NaN,10.25,,0.318,,6,HTI CTA FO ,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,0.5,NaN,25,9,5.36,4,22.5,86,(Alturki et al. 2013),5,,140
Testosterone,Hormones,0.00075,288.42,0,NaN,15.06,,0.442,,6,HTI CTA FO ,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,0.5,NaN,25,9,5.36,4,22.5,89,(Alturki et al. 2013),5,,141
Etiocholanolone,Hormones,0.00075,290.44,0,NaN,15.14,,0.423,,6,HTI CTA FO ,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,0.5,NaN,25,9,5.36,4,22.5,93,(Alturki et al. 2013),5,,142
Androsterone,Hormones,0.00075,290.44,0,NaN,15.14,,0.445,,6,HTI CTA FO ,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,0.5,NaN,25,9,5.36,4,22.5,91,(Alturki et al. 2013),5,,143
17α-Ethynylestradiol,Hormones,0.00075,296.4,0,3.98,10.24,,0.309,,6,HTI CTA FO ,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,0.5,NaN,25,9,5.36,4,22.5,96,(Alturki et al. 2013),5,,144
Trimethoprim,Antibiotics,5.00E-07,290.32,1,0.26,7.04,,0.41,,7,Pa FO ,unmodified polyamide (PA) membrane,68.3,-19.5,MgCl2,95.21,2,NaN,10,1.3,18,0.9,NaN,81,(Dong et al. 2022),6,,145
Carbamazepine,Analgesics,5.00E-07,236.27,0,2.76,2.3,,0.37,,7,Pa FO ,unmodified polyamide (PA) membrane,68.3,-19.5,MgCl2,95.21,2,NaN,10,1.3,18,0.9,NaN,75,(Dong et al. 2022),6,Pharmaceutical Retention Mechanisms by Nanofiltration Membranes | Environmental Science & Technology (acs.org),146
Sulfamethoxazole,Therapeutic,5.00E-07,253.28,-1,NaN,1.7,,0.38,,7,Pa FO ,unmodified polyamide (PA) membrane,68.3,-19.5,MgCl2,95.21,2,NaN,10,1.3,18,0.9,NaN,83,(Dong et al. 2022),6,Pharmaceutical Retention Mechanisms by Nanofiltration Membranes | Environmental Science & Technology (acs.org),147
Trimethoprim,Antibiotics,5.00E-07,290.32,1,0.26,7.04,,0.41,,7,CA-Na FO ,sodium citrate (CA-Na) modified membrane where Fe3+ was used here as a bridge to graft carboxylates to the PA surface.,43.8,-29.3,MgCl2,95.21,2,NaN,10,1.3,27.5,1.1,NaN,92,(Dong et al. 2022),6,,148
Carbamazepine,Analgesics,5.00E-07,236.27,0,2.76,2.3,,0.37,,7,CA-Na FO ,sodium citrate (CA-Na) modified membrane where Fe3+ was used here as a bridge to graft carboxylates to the PA surface.,43.8,-29.3,MgCl2,95.21,2,NaN,10,1.3,27.5,1.1,NaN,94,(Dong et al. 2022),6,Pharmaceutical Retention Mechanisms by Nanofiltration Membranes | Environmental Science & Technology (acs.org),149
Sulfamethoxazole,Therapeutic,5.00E-07,253.28,-1,NaN,1.7,,0.38,,7,CA-Na FO ,sodium citrate (CA-Na) modified membrane where Fe3+ was used here as a bridge to graft carboxylates to the PA surface.,43.8,-29.3,MgCl2,95.21,2,NaN,10,1.3,27.5,1.1,NaN,97,(Dong et al. 2022),6,Pharmaceutical Retention Mechanisms by Nanofiltration Membranes | Environmental Science & Technology (acs.org),150
Atenolol,β-Blockers,0.01,266.34,1,-2.67,9.6,,0.39,,8,HTI CTA FO ,"fertilizer-drawn forward osmosis (FDFO), AL-FS (active layer facing FS)",64.5,NaN,Monoammonium phosphate (MAP),115,1,NaN,10,8.5,7.71,0.08,20,100,(Kim et al. 2017),7,,151
Atrazine,Herbicide,0.01,215.7,0,2.64,1.7,,0.35,,8,HTI CTA FO ,"fertilizer-drawn forward osmosis (FDFO), AL-FS (active layer facing FS)",64.5,NaN,Monoammonium phosphate (MAP),115,1,NaN,10,8.5,7.71,0.08,20,97,(Kim et al. 2017),7,,152
Caffeine,Stimulant,0.01,194.2,0,-0.63,10.4,,0.33,,8,HTI CTA FO ,"fertilizer-drawn forward osmosis (FDFO), AL-FS (active layer facing FS)",64.5,NaN,Monoammonium phosphate (MAP),115,1,NaN,10,8.5,7.71,0.08,20,95,(Kim et al. 2017),7,,153
Atenolol,β-Blockers,0.01,266.34,1,-2.67,9.6,,0.39,,8,HTI CTA FO ,"fertilizer-drawn forward osmosis (FDFO), AL-FS (active layer facing FS)",64.5,NaN,Diammonium phosphate (DAP),132.1,1,NaN,10,8.5,7.64,0.32,20,99,(Kim et al. 2017),7,,154
Atrazine,Herbicide,0.01,215.7,0,2.64,1.7,,0.35,,8,HTI CTA FO ,"fertilizer-drawn forward osmosis (FDFO), AL-FS (active layer facing FS)",64.5,NaN,Diammonium phosphate (DAP),132.1,1,NaN,10,8.5,7.64,0.32,20,96,(Kim et al. 2017),7,,155
Caffeine,Stimulant,0.01,194.2,0,-0.63,10.4,,0.33,,8,HTI CTA FO ,"fertilizer-drawn forward osmosis (FDFO), AL-FS (active layer facing FS)",64.5,NaN,Diammonium phosphate (DAP),132.1,1,NaN,10,8.5,7.64,0.32,20,96,(Kim et al. 2017),7,,156
Atenolol,β-Blockers,0.01,266.34,1,-2.67,9.6,,0.39,,8,HTI CTA FO ,"fertilizer-drawn forward osmosis (FDFO), AL-FS (active layer facing FS)",64.5,NaN,Potassium chloride (KCl),74.6,1,NaN,10,8.5,11.64,0.48,20,100,(Kim et al. 2017),7,,157
Atrazine,Herbicide,0.01,215.7,0,2.64,1.7,,0.35,,8,HTI CTA FO ,"fertilizer-drawn forward osmosis (FDFO), AL-FS (active layer facing FS)",64.5,NaN,Potassium chloride (KCl),74.6,1,NaN,10,8.5,11.64,0.48,20,95,(Kim et al. 2017),7,,158
Caffeine,Stimulant,0.01,194.2,0,-0.63,10.4,,0.33,,8,HTI CTA FO ,"fertilizer-drawn forward osmosis (FDFO), AL-FS (active layer facing FS)",64.5,NaN,Potassium chloride (KCl),74.6,1,NaN,10,8.5,11.64,0.48,20,94,(Kim et al. 2017),7,,159
Atenolol,β-Blockers,0.01,266.34,1,-2.67,9.6,,0.39,,8,HTI CTA FO ,"fertilizer-drawn forward osmosis (FDFO), AL-FS (active layer facing FS)",64.5,NaN,Monoammonium phosphate (MAP),115,2,NaN,10,8.5,9.46,0.07,20,100,(Kim et al. 2017),7,,160
Atrazine,Herbicide,0.01,215.7,0,2.64,1.7,,0.35,,8,HTI CTA FO ,"fertilizer-drawn forward osmosis (FDFO), AL-FS (active layer facing FS)",64.5,NaN,Monoammonium phosphate (MAP),115,2,NaN,10,8.5,9.46,0.07,20,95,(Kim et al. 2017),7,,161
Caffeine,Stimulant,0.01,194.2,0,-0.63,10.4,,0.33,,8,HTI CTA FO ,"fertilizer-drawn forward osmosis (FDFO), AL-FS (active layer facing FS)",64.5,NaN,Monoammonium phosphate (MAP),115,2,NaN,10,8.5,9.46,0.07,20,96,(Kim et al. 2017),7,,162
Atenolol,β-Blockers,0.01,266.34,1,-2.67,9.6,,0.39,,8,HTI CTA FO ,"fertilizer-drawn forward osmosis (FDFO), AL-FS (active layer facing FS)",64.5,NaN,Diammonium phosphate (DAP),132.1,2,NaN,10,8.5,9.19,0.5,20,100,(Kim et al. 2017),7,,163
Atrazine,Herbicide,0.01,215.7,0,2.64,1.7,,0.35,,8,HTI CTA FO ,"fertilizer-drawn forward osmosis (FDFO), AL-FS (active layer facing FS)",64.5,NaN,Diammonium phosphate (DAP),132.1,2,NaN,10,8.5,9.19,0.5,20,97,(Kim et al. 2017),7,,164
Caffeine,Stimulant,0.01,194.2,0,-0.63,10.4,,0.33,,8,HTI CTA FO ,"fertilizer-drawn forward osmosis (FDFO), AL-FS (active layer facing FS)",64.5,NaN,Diammonium phosphate (DAP),132.1,2,NaN,10,8.5,9.19,0.5,20,96,(Kim et al. 2017),7,,165
Atenolol,β-Blockers,0.01,266.34,1,-2.67,9.6,,0.39,,8,HTI CTA FO ,"fertilizer-drawn forward osmosis (FDFO), AL-FS (active layer facing FS)",64.5,NaN,Potassium chloride (KCl),74.6,2,NaN,10,8.5,17.12,0.92,20,100,(Kim et al. 2017),7,,166
Atrazine,Herbicide,0.01,215.7,0,2.64,1.7,,0.35,,8,HTI CTA FO ,"fertilizer-drawn forward osmosis (FDFO), AL-FS (active layer facing FS)",64.5,NaN,Potassium chloride (KCl),74.6,2,NaN,10,8.5,17.12,0.92,20,93,(Kim et al. 2017),7,,167
Caffeine,Stimulant,0.01,194.2,0,-0.63,10.4,,0.33,,8,HTI CTA FO ,"fertilizer-drawn forward osmosis (FDFO), AL-FS (active layer facing FS)",64.5,NaN,Potassium chloride (KCl),74.6,2,NaN,10,8.5,17.12,0.92,20,94,(Kim et al. 2017),7,,168
Atenolol,β-Blockers,0.01,266.34,1,-2.67,9.6,,0.39,,8,HTI CTA FO ,"fertilizer-drawn forward osmosis (FDFO), AL-FS (active layer facing FS)",64.5,NaN,Monoammonium phosphate (MAP),115,1,NaN,10,8.5,14.28,0.12,20,98,(Kim et al. 2017),7,,169
Atrazine,Herbicide,0.01,215.7,0,2.64,1.7,,0.35,,8,HTI CTA FO ,"fertilizer-drawn forward osmosis (FDFO), AL-FS (active layer facing FS)",64.5,NaN,Monoammonium phosphate (MAP),115,1,NaN,10,8.5,14.28,0.12,20,92,(Kim et al. 2017),7,,170
Caffeine,Stimulant,0.01,194.2,0,-0.63,10.4,,0.33,,8,HTI CTA FO ,"fertilizer-drawn forward osmosis (FDFO), AL-FS (active layer facing FS)",64.5,NaN,Monoammonium phosphate (MAP),115,1,NaN,10,8.5,14.28,0.12,20,91,(Kim et al. 2017),7,,171
Atenolol,β-Blockers,0.01,266.34,1,-2.67,9.6,,0.39,,8,HTI CTA FO ,"fertilizer-drawn forward osmosis (FDFO), AL-FS (active layer facing FS)",64.5,NaN,Diammonium phosphate (DAP),132.1,1,NaN,10,8.5,16.18,0.26,20,99,(Kim et al. 2017),7,,172
Atrazine,Herbicide,0.01,215.7,0,2.64,1.7,,0.35,,8,HTI CTA FO ,"fertilizer-drawn forward osmosis (FDFO), AL-FS (active layer facing FS)",64.5,NaN,Diammonium phosphate (DAP),132.1,1,NaN,10,8.5,16.18,0.26,20,98,(Kim et al. 2017),7,,173
Caffeine,Stimulant,0.01,194.2,0,-0.63,10.4,,0.33,,8,HTI CTA FO ,"fertilizer-drawn forward osmosis (FDFO), AL-FS (active layer facing FS)",64.5,NaN,Diammonium phosphate (DAP),132.1,1,NaN,10,8.5,16.18,0.26,20,98,(Kim et al. 2017),7,,174
Atenolol,β-Blockers,0.01,266.34,1,-2.67,9.6,,0.39,,8,HTI CTA FO ,"fertilizer-drawn forward osmosis (FDFO), AL-FS (active layer facing FS)",64.5,NaN,Potassium chloride (KCl),74.6,1,NaN,10,8.5,18.08,0.85,20,99,(Kim et al. 2017),7,,175
Atrazine,Herbicide,0.01,215.7,0,2.64,1.7,,0.35,,8,HTI CTA FO ,"fertilizer-drawn forward osmosis (FDFO), AL-FS (active layer facing FS)",64.5,NaN,Potassium chloride (KCl),74.6,1,NaN,10,8.5,18.08,0.85,20,94,(Kim et al. 2017),7,,176
Caffeine,Stimulant,0.01,194.2,0,-0.63,10.4,,0.33,,8,HTI CTA FO ,"fertilizer-drawn forward osmosis (FDFO), AL-FS (active layer facing FS)",64.5,NaN,Potassium chloride (KCl),74.6,1,NaN,10,8.5,18.08,0.85,20,92,(Kim et al. 2017),7,,177
N-nitrosodimethylamine (NDMA),disinfection byproduct,0.01,74,0,NaN,3.52,,0.235,,7,Aquaporin FO,thin-film composite membrane with aquaporin protein embedded in the polyamide layer.,26.4,-55,NaCl,58.44,1,7,8,4.8,8.1,3.5,21,31,(Xu et al. 2018),8,,178
N-nitrosomethylethylamine (NMEA),disinfection byproduct,0.01,88,0,NaN,3.52,,0.285,,7,Aquaporin FO,thin-film composite membrane with aquaporin protein embedded in the polyamide layer.,26.4,-55,NaCl,58.44,1,7,8,4.8,8.1,3.5,21,71,(Xu et al. 2018),8,,179
N-nitrosodiethylamine (NDEA),disinfection byproduct,0.01,102,0,NaN,3.52,,0.332,,7,Aquaporin FO,thin-film composite membrane with aquaporin protein embedded in the polyamide layer.,26.4,-55,NaCl,58.44,1,7,8,4.8,8.1,3.5,21,86,(Xu et al. 2018),8,,180
N-nitrosodi-n-propylamine (NDPA),disinfection byproduct,0.01,130,0,NaN,3.3,,0.364,,7,Aquaporin FO,thin-film composite membrane with aquaporin protein embedded in the polyamide layer.,26.4,-55,NaCl,58.44,1,7,8,4.8,8.1,3.5,21,94,(Xu et al. 2018),8,,181
N-nitrosodi-n-butylamine (NDBA),disinfection byproduct,0.01,158,0,NaN,NaN,,0.407,,7,Aquaporin FO,thin-film composite membrane with aquaporin protein embedded in the polyamide layer.,26.4,-55,NaCl,58.44,1,7,8,4.8,8.1,3.5,21,100,(Xu et al. 2018),8,,182
N-nitrosopyrrolidine (NPYR),disinfection byproduct,0.01,100,0,NaN,NaN,,0.354,,7,Aquaporin FO,thin-film composite membrane with aquaporin protein embedded in the polyamide layer.,26.4,-55,NaCl,58.44,1,7,8,4.8,8.1,3.5,21,81,(Xu et al. 2018),8,,183
N-nitrosopiperidine (NPIP),disinfection byproduct,0.01,114,0,NaN,NaN,,0.407,,7,Aquaporin FO,thin-film composite membrane with aquaporin protein embedded in the polyamide layer.,26.4,-55,NaCl,58.44,1,7,8,4.8,8.1,3.5,21,91,(Xu et al. 2018),8,,184
Chloroform (TCM),disinfection byproduct,0.02,119,0,NaN,"15,7 ",,0.332,,7,Aquaporin FO,thin-film composite membrane with aquaporin protein embedded in the polyamide layer.,26.4,-55,NaCl,58.44,1,7,8,4.8,8.1,3.5,21,34,(Xu et al. 2018),8,,185
Bromodichloromethane (DCBM),disinfection byproduct,0.02,164,0,NaN,1.4,,0.435,,7,Aquaporin FO,thin-film composite membrane with aquaporin protein embedded in the polyamide layer.,26.4,-55,NaCl,58.44,1,7,8,4.8,8.1,3.5,21,60,(Xu et al. 2018),8,,186
Dibromochloromethane (DBCM),disinfection byproduct,0.02,208,0,NaN,2.9,,0.455,,7,Aquaporin FO,thin-film composite membrane with aquaporin protein embedded in the polyamide layer.,26.4,-55,NaCl,58.44,1,7,8,4.8,8.1,3.5,21,79,(Xu et al. 2018),8,,187
Bromoform (TBM),disinfection byproduct,0.02,253,0,NaN,13.6,,0.427,,7,Aquaporin FO,thin-film composite membrane with aquaporin protein embedded in the polyamide layer.,26.4,-55,NaCl,58.44,1,7,8,4.8,8.1,3.5,21,87,(Xu et al. 2018),8,,188
Dichloroacetonitrile (DCAN),disinfection byproduct,NaN,110,0,NaN,3.3,,0.465,,7,Aquaporin FO,thin-film composite membrane with aquaporin protein embedded in the polyamide layer.,26.4,-55,NaCl,58.44,1,7,8,4.8,8.1,3.5,21,48,(Xu et al. 2018),8,,189
Bromochloroacetonitrile (BCAN),disinfection byproduct,NaN,154,0,NaN,3.3,,0.529,,7,Aquaporin FO,thin-film composite membrane with aquaporin protein embedded in the polyamide layer.,26.4,-55,NaCl,58.44,1,7,8,4.8,8.1,3.5,21,67,(Xu et al. 2018),8,,190
Dibromoacetonitrile (DBAN),disinfection byproduct,NaN,199,0,NaN,2.2,,0.607,,7,Aquaporin FO,thin-film composite membrane with aquaporin protein embedded in the polyamide layer.,26.4,-55,NaCl,58.44,1,7,8,4.8,8.1,3.5,21,76,(Xu et al. 2018),8,,191
"1,1-Dichloro-2-propanone (1,1-DCP)",disinfection byproduct,NaN,127,0,NaN,10.4,,0.531,,7,Aquaporin FO,thin-film composite membrane with aquaporin protein embedded in the polyamide layer.,26.4,-55,NaCl,58.44,1,7,8,4.8,8.1,3.5,21,91,(Xu et al. 2018),8,,193
"1,1,1-Trichloro-2-propanone (1,1,1-TCP)",disinfection byproduct,NaN,161,0,NaN,10,,0.524,,7,Aquaporin FO,thin-film composite membrane with aquaporin protein embedded in the polyamide layer.,26.4,-55,NaCl,58.44,1,7,8,4.8,8.1,3.5,21,95,(Xu et al. 2018),8,,194
N-nitrosodimethylamine (NDMA),disinfection byproduct,0.01,74,0,NaN,7.6,,0.443,,7,HTI CTA FO ,asymmetric cellulose triacetate membrane,58.3,-8,NaCl,58.44,1,7,8,4.8,6,5.5,21,4,(Xu et al. 2018),8,,196
N-nitrosomethylethylamine (NMEA),disinfection byproduct,0.01,88,0,NaN,8.3,,0.486,,7,HTI CTA FO ,asymmetric cellulose triacetate membrane,58.3,-8,NaCl,58.44,1,7,8,4.8,6,5.5,21,21,(Xu et al. 2018),8,,197
N-nitrosodiethylamine (NDEA),disinfection byproduct,0.01,102,0,NaN,9.4,,0.533,,7,HTI CTA FO ,asymmetric cellulose triacetate membrane,58.3,-8,NaCl,58.44,1,7,8,4.8,6,5.5,21,30,(Xu et al. 2018),8,,198
N-nitrosodi-n-propylamine (NDPA),disinfection byproduct,0.01,130,0,NaN,9.6,,0.575,,7,HTI CTA FO ,asymmetric cellulose triacetate membrane,58.3,-8,NaCl,58.44,1,7,8,4.8,6,5.5,21,50,(Xu et al. 2018),8,,199
N-nitrosodi-n-butylamine (NDBA),disinfection byproduct,0.01,158,0,NaN,8.2,,0.619,,7,HTI CTA FO ,asymmetric cellulose triacetate membrane,58.3,-8,NaCl,58.44,1,7,8,4.8,6,5.5,21,57,(Xu et al. 2018),8,,200
N-nitrosopyrrolidine (NPYR),disinfection byproduct,0.01,100,0,NaN,7.7,,0.497,,7,HTI CTA FO ,asymmetric cellulose triacetate membrane,58.3,-8,NaCl,58.44,1,7,8,4.8,6,5.5,21,21,(Xu et al. 2018),8,,201
N-nitrosopiperidine (NPIP),disinfection byproduct,0.01,114,0,NaN,7.6,,0.529,,7,HTI CTA FO ,asymmetric cellulose triacetate membrane,58.3,-8,NaCl,58.44,1,7,8,4.8,6,5.5,21,40,(Xu et al. 2018),8,,202
Chloroform (TCM),disinfection byproduct,0.02,119,0,NaN,15.7,,0.408,,7,HTI CTA FO ,asymmetric cellulose triacetate membrane,58.3,-8,NaCl,58.44,1,7,8,4.8,6,5.5,21,4,(Xu et al. 2018),8,,203
Bromodichloromethane (DCBM),disinfection byproduct,0.02,164,0,NaN,8,,0.465,,7,HTI CTA FO ,asymmetric cellulose triacetate membrane,58.3,-8,NaCl,58.44,1,7,8,4.8,6,5.5,21,16,(Xu et al. 2018),8,,204
Dibromochloromethane (DBCM),disinfection byproduct,0.02,208,0,NaN,6,,0.5,,7,HTI CTA FO ,asymmetric cellulose triacetate membrane,58.3,-8,NaCl,58.44,1,7,8,4.8,6,5.5,21,27,(Xu et al. 2018),8,,205
Bromoform (TBM),disinfection byproduct,0.02,253,0,NaN,8.7,,0.483,,7,HTI CTA FO ,asymmetric cellulose triacetate membrane,58.3,-8,NaCl,58.44,1,7,8,4.8,6,5.5,21,37,(Xu et al. 2018),8,,206
Dichloroacetonitrile (DCAN),disinfection byproduct,NaN,110,0,NaN,5.5,,0.409,,7,HTI CTA FO ,asymmetric cellulose triacetate membrane,58.3,-8,NaCl,58.44,1,7,8,4.8,6,5.5,21,4,(Xu et al. 2018),8,,207
Bromochloroacetonitrile (BCAN),disinfection byproduct,NaN,154,0,NaN,2.9,,0.422,,7,HTI CTA FO ,asymmetric cellulose triacetate membrane,58.3,-8,NaCl,58.44,1,7,8,4.8,6,5.5,21,20,(Xu et al. 2018),8,,208
Dibromoacetonitrile (DBAN),disinfection byproduct,NaN,199,0,NaN,1.1,,0.429,,7,HTI CTA FO ,asymmetric cellulose triacetate membrane,58.3,-8,NaCl,58.44,1,7,8,4.8,6,5.5,21,36,(Xu et al. 2018),8,,209
"1,1-Dichloro-2-propanone (1,1-DCP)",disinfection byproduct,NaN,127,0,NaN,9.1,,0.46,,7,HTI CTA FO ,asymmetric cellulose triacetate membrane,58.3,-8,NaCl,58.44,1,7,8,4.8,6,5.5,21,27,(Xu et al. 2018),8,,211
"1,1,1-Trichloro-2-propanone (1,1,1-TCP)",disinfection byproduct,NaN,161,0,NaN,9.7,,0.473,,7,HTI CTA FO ,asymmetric cellulose triacetate membrane,58.3,-8,NaCl,58.44,1,7,8,4.8,6,5.5,21,65,(Xu et al. 2018),8,,212
